source_airport_id,target_airport_id
1,63
1,70
1,104
1,110
1,111
1,168
1,175
1,224
1,229
1,232
1,295
1,332
1,339
1,342
1,398
2,10
2,18
2,165
2,168
2,177
2,192
2,247
2,296
2,298
2,360
3,2
3,108
3,227
3,389
4,7
4,16
4,35
4,54
4,67
4,79
4,83
4,112
4,147
4,215
4,258
4,275
5,15
5,32
5,69
5,83
5,84
5,161
5,177
5,200
5,273
5,322
6,40
6,64
6,96
6,139
6,179
6,260
6,272
6,307
6,341
6,376
7,166
7,181
7,240
7,255
8,64
8,120
8,138
8,142
8,152
8,179
8,181
8,214
8,217
9,15
9,44
9,121
9,162
9,171
9,334
9,336
10,51
10,64
10,224
10,275
10,337
11,19
11,235
11,241
11,302
11,382
12,77
12,78
12,82
12,91
12,121
12,154
12,184
12,288
12,295
12,296
12,300
12,318
12,367
12,382
12,393
12,398
13,31
13,159
13,243
14,1
14,2
14,40
14,54
14,144
14,227
14,241
14,369
14,379
14,386
15,46
15,54
15,66
15,150
15,181
15,218
15,249
15,254
15,300
15,337
15,384
16,24
16,49
16,267
16,268
16,300
17,11
17,86
17,202
17,217
17,277
17,368
18,38
18,57
18,98
18,122
18,125
18,194
18,226
18,228
18,250
18,346
18,365
19,154
19,163
19,176
19,177
19,189
19,227
19,295
19,317
19,361
20,56
20,88
20,152
20,221
20,297
20,335
20,339
21,133
21,157
21,278
21,311
21,340
22,10
22,139
22,278
22,333
22,395
23,85
23,103
23,120
23,358
24,18
24,19
24,35
24,50
24,54
24,112
24,154
24,214
24,276
24,312
24,330
24,358
25,28
25,54
25,129
25,167
25,175
25,226
25,231
25,239
25,276
25,283
25,289
25,316
25,377
26,378
27,252
28,54
28,104
28,133
28,382
28,386
29,12
29,63
29,74
29,128
29,160
29,180
29,367
29,395
30,223
30,354
31,242
31,381
32,3
32,61
32,144
32,170
32,185
32,255
33,21
33,62
33,86
33,112
33,169
33,186
33,191
33,198
33,209
33,230
33,255
33,275
33,319
33,336
33,337
33,359
33,379
33,398
34,2
34,8
34,40
34,78
34,120
34,151
34,203
34,237
34,246
34,250
35,1
35,88
35,96
35,122
35,157
35,185
35,329
35,384
36,245
37,88
37,97
37,164
37,206
37,351
38,46
38,58
38,67
38,94
38,177
38,178
38,249
38,274
38,328
38,329
38,345
38,351
39,34
39,62
39,111
39,202
39,214
39,276
39,332
40,65
40,163
40,175
40,364
41,64
41,138
41,204
41,286
41,289
41,299
41,356
41,368
41,388
42,3
42,7
42,55
42,104
42,114
42,120
42,139
42,154
42,179
42,205
42,240
42,246
42,280
42,291
42,348
42,356
42,378
43,20
43,34
43,44
43,126
43,204
