airport_id,name,iata,lat,lon
1,Synthetic Airport 1,A000,43.884823,-85.93016
2,Synthetic Airport 2,A001,51.214645,0.8450928
3,Synthetic Airport 3,A002,30.11732,-101.25635
4,Synthetic Airport 4,A003,35.56262,-118.57606
5,Synthetic Airport 5,A004,45.531216,-85.38465
6,Synthetic Airport 6,A005,49.278126,-121.695984
7,Synthetic Airport 7,A006,37.70034,-104.87774
8,Synthetic Airport 8,A007,35.918125,-85.138855
9,Synthetic Airport 9,A008,40.644356,-87.35285
10,Synthetic Airport 10,A009,47.073887,-1.1934204
11,Synthetic Airport 11,A010,52.110367,1.2318878
12,Synthetic Airport 12,A011,35.220745,-73.968414
13,Synthetic Airport 13,A012,42.200314,-87.92502
14,Synthetic Airport 14,A013,35.664707,-83.46906
15,Synthetic Airport 15,A014,49.527065,-119.870575
16,Synthetic Airport 16,A015,39.08248,-84.73674
17,Synthetic Airport 17,A016,41.980827,-72.88562
18,Synthetic Airport 18,A017,38.674652,-74.3354
19,Synthetic Airport 19,A018,27.026915,-82.6968
20,Synthetic Airport 20,A019,52.828377,-0.4629364
21,Synthetic Airport 21,A020,32.776436,-117.32837
22,Synthetic Airport 22,A021,30.441711,-117.69844
23,Synthetic Airport 23,A022,46.7028,-122.49132
24,Synthetic Airport 24,A023,39.25255,-74.29732
25,Synthetic Airport 25,A024,39.062878,-107.13114
26,Synthetic Airport 26,A025,33.264935,-84.69121
27,Synthetic Airport 27,A026,42.149155,-70.61768
28,Synthetic Airport 28,A027,52.66123,-0.91726685
29,Synthetic Airport 29,A028,44.826096,-87.987656
30,Synthetic Airport 30,A029,24.745586,-77.51699
31,Synthetic Airport 31,A030,35.45087,-84.19798
32,Synthetic Airport 32,A031,34.13273,-121.8788
33,Synthetic Airport 33,A032,37.67258,-124.68295
34,Synthetic Airport 34,A033,36.68621,-103.04469
35,Synthetic Airport 35,A034,38.872334,-71.02688
36,Synthetic Airport 36,A035,27.883308,-80.40841
37,Synthetic Airport 37,A036,38.738617,-71.68493
38,Synthetic Airport 38,A037,42.735764,-102.73247
39,Synthetic Airport 39,A038,43.28962,-110.13788
40,Synthetic Airport 40,A039,43.048267,-85.2242
41,Synthetic Airport 41,A040,37.022514,-125.18409
42,Synthetic Airport 42,A041,37.891304,-103.81667
43,Synthetic Airport 43,A042,38.967335,-72.875725
44,Synthetic Airport 44,A043,33.499687,-84.90205
45,Synthetic Airport 45,A044,38.657967,-74.5001
46,Synthetic Airport 46,A045,33.75921,-119.17297
47,Synthetic Airport 47,A046,39.08345,-74.72325
48,Synthetic Airport 48,A047,35.170834,-119.317154
49,Synthetic Airport 49,A048,30.275679,-119.86003
50,Synthetic Airport 50,A049,40.821518,-104.8688
51,Synthetic Airport 51,A050,39.531902,-122.18056
52,Synthetic Airport 52,A051,45.443195,-122.719284
53,Synthetic Airport 53,A052,43.58264,-73.17314
54,Synthetic Airport 54,A053,43.70582,-75.43227
55,Synthetic Airport 55,A054,42.020683,-73.419754
56,Synthetic Airport 56,A055,34.63684,-120.77265
57,Synthetic Airport 57,A056,34.48219,-115.28521
58,Synthetic Airport 58,A057,30.420595,-86.96682
59,Synthetic Airport 59,A058,33.03025,-116.90976
60,Synthetic Airport 60,A059,31.422112,-117.88504
61,Synthetic Airport 61,A060,34.254826,-122.32704
62,Synthetic Airport 62,A061,32.148357,-85.68782
63,Synthetic Airport 63,A062,52.14459,-2.4506378
64,Synthetic Airport 64,A063,35.4822,-83.401344
65,Synthetic Airport 65,A064,32.531464,-115.46931
66,Synthetic Airport 66,A065,34.72165,-81.92323
67,Synthetic Airport 67,A066,39.81997,-73.296776
68,Synthetic Airport 68,A067,25.35212,-77.541084
69,Synthetic Airport 69,A068,37.011963,-121.608345
70,Synthetic Airport 70,A069,24.294884,-79.84721
71,Synthetic Airport 71,A070,50.330536,-3.4852448
72,Synthetic Airport 72,A071,34.718662,-98.48773
73,Synthetic Airport 73,A072,53.55259,-1.1938934
74,Synthetic Airport 74,A073,33.565666,-85.968414
75,Synthetic Airport 75,A074,41.521324,-106.646835
